CORRW ASCII
  CorrWare for Windows: Version 3.3c
  Cyclic Voltammogram	[0 OC;0,8 Ref;-0,6 Ref;0 OC;50mV/S,x5][custom]	2022_12_15_Characterisation_50mVs_5Scans_06_08V_W239_E15_Ch8.cor (append)
  Date: 12-15-2022    Time: 16:36:12


  Open Circuit Potential (V): 0,1998
  Begin Information:          Cell Information
    Surface Area:             1
    Density:                  0
    Weight:                   0
    Polarity:                 0
    PolarityI:                0
    Corrosion Unit Type:      0
    Reference Type:           0
    Reference Potential:      0,211
    User-Defined Potential:   0,211
    Stern-Geary:              26
  End Information:            Cell Information
  Begin Pstat:                1287
    Pstat Title:              Instrument #1
    Current Range:            8
    Current Limit:            0
    Current LimitType:        2
    Sweep Type:               0
    Use Error Beep:           0
    Auxilary Type:            0
    iR Comp. Type:            0
    iR Ohms:                  20000
    iR Time:                  27
    iR Ratio:                 255
    LP Filter Type:           2
    Drift Correction:         1
    Null Correction:          0
    Pstat Bandwidth Type:     2
    Gstat Bandwidth Type:     2
    External Input:           0
  End Pstat:                  1287
  Begin Experiment:           Cyclic Voltammogram	[0 OC;0,8 Ref;-0,6 Ref;0 OC;50mV/S,x5][custom]	2022_12_15_Characterisation_50mVs_5Scans_06_08V_W239_E15_Ch8.cor (append)
    Data File:                C:\daten\_Ivo Strauss\NERFPN\2022_12_15_Characterisation_50mVs_5Scans_06_08V_W239_E15_Ch8.cor
    Data Append:              1
    Comment Lines:            0
    Potential #1:             0
    Potential #1 Type:        0
    Use Potential #1:         1
    Potential #2:             0,8
    Potential #2 Type:        1
    Potential #3:             -0,6
    Potential #3 Type:        1
    Potential #4:             0
    Potential #4 Type:        0
    Use Potential #4:         1
    Scan Rate:                50
    Scan Number:              5
    Measure Rate Type:        1
    Measure Rate #1:          1000
    Measure Rate #2:          50
    Measure Rate #3:          1
    Measure Rate #4:          0,5
    Measure Rate #5:          1
    Integrate Use:            0
    Integrate SegA1:          0
    Integrate SegA2:          0
    Integrate SegB1:          0
    Integrate SegB2:          0
    Integrate SegC1:          0
    Integrate SegC2:          0
    Save Data Type:           0
    Axes Type:                4
    Use Custom Pstat:         1
    Pstat Type:               1287
    Begin Pstat:              1287
      Pstat Title:            Instrument #1
      Current Range:          8
      Current Limit:          0
      Current LimitType:      2
      Sweep Type:             0
      Use Error Beep:         0
      Auxilary Type:          0
      iR Comp. Type:          0
      iR Ohms:                20000
      iR Time:                27
      iR Ratio:               255
      LP Filter Type:         2
      Drift Correction:       1
      Null Correction:        0
      Pstat Bandwidth Type:   2
      Gstat Bandwidth Type:   2
      External Input:         0
    End Pstat:                1287
